Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
447,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,137.0,16492,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,,Adjacent to Positive Off-Site Feature,Normal,Single-Family Detached,One Story,Above Average,Above Average,1966,2002,Gable,Standard Shingle,Brick Face,Plywood,,0.0,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,247,Average Rec Room,713,557,1517,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1888,0,0,1888,0,0,2,1,2,1,Good,6,Moderate Deductions,1,Good - Masonry Fireplace,Attached,1966.0,Finished,2,578,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,190000
448,2-STORY 1946 & NEWER,Residential Low Density,,11214,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Gilbert,Normal,Normal,Single-Family Detached,Two Story,Good,Average,1998,1999,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,930,930,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,956,930,0,1886,0,0,2,1,4,1,Good,10,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1998.0,Finished,2,431,Typical/Average,Typical/Average,Paved,89,0,0,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,199900
449,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50.0,8600,Paved,,Regular,Banked,All Public Utilities,Inside Lot,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Above Average,Above Average,1937,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,780,780,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,780,596,0,1376,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace,Detached,1937.0,Unfinished,1,198,Typical/Average,Typical/Average,Dirt/Gravel,0,0,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,119500
450,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50.0,6000,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Fair,Good,1948,2002,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,331,Unfinished,0,318,649,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,679,504,0,1183,0,0,1,1,2,1,Typical/Average,6,Typical Functionality,0,,Detached,1981.0,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,176,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,120000
451,1-STORY 1945 & OLDER,Residential Medium Density,70.0,5684,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,One Story,Above Average,Very Good,1930,2005,Hip,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,813,813,Gas Forced Warm Air Furnace,Excellent,Yes,Fuse Box over 60 AMP,813,0,0,813,0,0,1,0,2,1,Good,5,Typical Functionality,0,,Detached,1932.0,Unfinished,1,270,Fair,Fair,Dirt/Gravel,0,113,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,110000
452,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,62.0,70761,Paved,,Slightly Irregular,Depression,All Public Utilities,Inside Lot,Moderate Slope,Clear Creek,Normal,Normal,Single-Family Detached,One Story,Good,Average,1975,1975,Gable,Wood Shingles,Plywood,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Good Exposure,Average Living Quarters,655,Unfinished,0,878,1533,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1533,0,0,1533,1,0,2,0,2,1,Good,5,Typical Functionality,2,Average - Prefabricated Fireplace,Attached,1975.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,200,54,0,0,0,0,,,,0,12,2006,Warranty Deed - Conventional,Normal Sale,280000
453,2-STORY 1946 & NEWER,Residential Low Density,,9303,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Timberland,Normal,Normal,Single-Family Detached,Two Story,Above Average,Average,1996,1997,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,42.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,No Exposure,Average Living Quarters,742,Unfinished,0,130,872,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,888,868,0,1756,1,0,2,1,3,1,Typical/Average,7,Typical Functionality,0,,Attached,1996.0,Finished,2,422,Typical/Average,Typical/Average,Paved,144,122,0,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,204000
454,2-STORY 1946 & NEWER,Floating Village Residential,75.0,9000,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Somerset,Normal,Normal,Single-Family Detached,Two Story,Very Good,Average,2008,2008,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,768,768,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,786,804,0,1590,0,0,2,1,3,1,Good,6,Typical Functionality,0,,Attached,2008.0,Rough Finished,2,676,Typical/Average,Typical/Average,Paved,0,30,0,0,0,0,,,,0,6,2009,Warranty Deed - Conventional,Normal Sale,210000
455,DUPLEX - ALL STYLES AND AGES,Residential Low Density,63.0,9297,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Mitchell,Normal,Normal,,One Story,Average,Average,1976,1976,Gable,Standard Shingle,Plywood,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,1606,Unfinished,0,122,1728,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1728,0,0,1728,2,0,2,0,4,2,Typical/Average,8,Typical Functionality,0,,Detached,1976.0,Unfinished,2,560,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Family Sale,188000
456,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Normal,Normal,Single-Family Detached,One Story,Good,Above Average,1973,1973,Hip,Standard Shingle,Hard Board,Hard Board,Brick Face,320.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,916,Unfinished,0,326,1242,Gas Forced Warm Air Furnace,Fair,Yes,Standard Circuit Breakers & Romex,1242,0,0,1242,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1973.0,Unfinished,2,528,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,9,2007,Warranty Deed - Conventional,Normal Sale,175500
457,2-STORY 1945 & OLDER,Residential Medium Density,34.0,4571,Paved,Gravel,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,Two Story,Average,Average,1916,1950,Gable,Standard Shingle,Asbestos Shingles,Asbestos Shingles,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,624,624,Gas Forced Warm Air Furnace,Fair,No,Standard Circuit Breakers & Romex,624,720,0,1344,0,0,1,0,4,1,Typical/Average,7,Typical Functionality,0,,Detached,1916.0,Unfinished,3,513,Fair,Fair,Paved,0,0,96,0,0,0,,,,0,5,2008,Court Officer Deed/Estate,Abnormal Sale,98000
458,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,53227,Paved,,Slightly Irregular,Depression,All Public Utilities,Cul-de-sac,Moderate Slope,Clear Creek,Normal,Normal,Single-Family Detached,One Story,Below Average,Above Average,1954,1994,Flat,Gravel & Tar,Plywood,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,Good Exposure,Below Average Living Quarters,1116,Unfinished,0,248,1364,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1663,0,0,1663,1,0,1,0,2,1,Good,6,Minor Deductions 1,2,Good - Masonry Fireplace,Attached,1954.0,Finished,2,529,Typical/Average,Typical/Average,Paved,224,137,0,0,0,0,,,,0,3,2008,Warranty Deed - Conventional,Normal Sale,256000
459,2-STORY 1945 & OLDER,Residential Medium Density,,5100,Paved,Gravel,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,Two Story,Very Good,Good,1925,1996,Hip,Standard Shingle,Stucco,,,0.0,Average/Typical,Good,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,588,588,Gas Forced Warm Air Furnace,Fair,Yes,Standard Circuit Breakers & Romex,833,833,0,1666,0,0,1,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Detached,1925.0,Unfinished,1,228,Typical/Average,Typical/Average,Paved,192,63,0,0,0,0,,Minimum Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,161000
460,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,,7015,Paved,,Slightly Irregular,Banked,All Public Utilities,Corner Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,One and One-Half Story (Finished),Average,Below Average,1950,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,Brick Common,161.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,185,Unfinished,0,524,709,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,979,224,0,1203,1,0,1,0,3,1,Good,5,Typical Functionality,1,Average - Prefabricated Fireplace,Detached,1950.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,0,0,248,0,0,0,,,,0,7,2009,Warranty Deed - Conventional,Normal Sale,110000
461,2-STORY 1946 & NEWER,Floating Village Residential,75.0,8004,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Somerset,Adjacent to N-S Railroad,Normal,Single-Family Detached,Two Story,Very Good,Average,2009,2009,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,110.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,544,Unfinished,0,288,832,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,832,1103,0,1935,1,0,2,1,3,1,Typical/Average,8,Typical Functionality,0,,Built-In Garage,2009.0,Finished,2,552,Typical/Average,Typical/Average,Paved,0,150,0,0,0,0,,,,0,12,2009,Newly Constructed,Incomplete Construction,263435
462,2-STORY 1945 & OLDER,Residential Low Density,60.0,7200,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,South & West of ISU,Adjacent to Feeder Street,Normal,Single-Family Detached,Two Story,Good,Excellent,1936,2007,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Good,Good,Poured Concrete,Good (90-99 inches),Good,No Exposure,Average Living Quarters,350,Below Average Living Quarters,210,0,560,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,575,560,0,1135,1,0,1,0,3,1,Good,6,Typical Functionality,0,,Detached,1971.0,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,256,0,0,0,0,0,,Minimum Privacy,,0,4,2009,Warranty Deed - Conventional,Normal Sale,155000
463,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,8281,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Average,1965,1965,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,553,Below Average Living Quarters,311,0,864,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,1,Poor - Ben Franklin Stove,Detached,1965.0,Unfinished,1,360,Typical/Average,Typical/Average,Paved,0,0,236,0,0,0,,Good Wood,,0,12,2009,Warranty Deed - Conventional,Normal Sale,62383
464,2-STORY 1945 & OLDER,Residential Low Density,74.0,11988,Paved,,Slightly Irregular,Hillside,All Public Utilities,Inside Lot,Moderate Slope,Crawford,Normal,Normal,Single-Family Detached,Two Story,Above Average,Good,1934,1995,Hip,Standard Shingle,Stucco,Stucco,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,326,Unfinished,0,389,715,Gas Forced Warm Air Furnace,Fair,Yes,Fuse Box over 60 AMP,849,811,0,1660,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace,Detached,1939.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,8,2008,Warranty Deed - Conventional,Normal Sale,188700
465,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,8430,Paved,,Regular,Hillside,All Public Utilities,Inside Lot,Moderate Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Average,Average,1978,1978,Gable,Standard Shingle,Hard Board,Hard Board,Brick Face,136.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,No Exposure,Average Rec Room,616,Unfinished,0,424,1040,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,0,0,2,0,3,1,Typical/Average,5,Typical Functionality,0,,,,,0,0,,,Paved,0,0,0,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,124000
466,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,,3072,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Bloomington Heights,Normal,Normal,Townhouse End Unit,One Story,Good,Average,2004,2004,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,18.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1375,1375,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1414,0,0,1414,0,0,2,0,2,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,2004.0,Finished,2,398,Typical/Average,Typical/Average,Paved,144,20,0,0,0,0,,,,0,5,2006,Warranty Deed - Conventional,Normal Sale,178740
467,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,85.0,10628,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Good,Average,1970,1970,Flat,Gravel & Tar,Plywood,Plywood,,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Good,Good Exposure,Good Living Quarters,778,Unfinished,0,499,1277,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1277,0,0,1277,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Poor - Ben Franklin Stove,Attached,1970.0,Unfinished,2,526,Typical/Average,Typical/Average,Paved,0,0,0,0,176,0,,Good Wood,,0,4,2007,Warranty Deed - Conventional,Normal Sale,167000
468,2-STORY 1945 & OLDER,Residential Low Density,79.0,9480,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Adjacent to Arterial Street,Normal,Single-Family Detached,Two Story,Average,Good,1942,1995,Gable,Standard Shingle,Metal Siding,Metal Siding,Stone,224.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,386,Unfinished,0,342,728,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,888,756,0,1644,0,0,1,1,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace,Attached,1942.0,Unfinished,1,312,Typical/Average,Typical/Average,Paved,168,0,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,146500
469,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,98.0,11428,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2006,2006,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,248.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1626,1626,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1634,0,0,1634,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2006.0,Rough Finished,3,866,Typical/Average,Typical/Average,Paved,0,44,0,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,250000
470,2-STORY 1946 & NEWER,Residential Low Density,76.0,9291,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Sawyer West,"Within 200"" of E-W Railroad",Normal,Single-Family Detached,Two Story,Above Average,Average,1993,1993,Gable,Standard Shingle,Hard Board,Hard Board,Brick Face,120.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,426,Unfinished,0,406,832,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,832,878,0,1710,0,0,2,1,3,1,Good,7,Typical Functionality,0,,Attached,1993.0,Rough Finished,2,506,Typical/Average,Typical/Average,Paved,144,70,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,187000
471,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,,6820,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Stone Brook,Normal,Normal,Townhouse End Unit,One Story,Very Good,Average,1985,1985,Gable,Standard Shingle,Hard Board,Hard Board,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,368,Below Average Living Quarters,1120,0,1488,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1502,0,0,1502,1,0,1,1,1,1,Good,4,Typical Functionality,0,,Attached,1985.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,54,0,0,140,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,212000
472,2-STORY 1946 & NEWER,Residential Low Density,92.0,11952,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northwest Ames,Adjacent to Positive Off-Site Feature,Normal,Single-Family Detached,Two Story,Good,Above Average,1977,1977,Mansard,Wood Shakes,Wood Shingles,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,808,808,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1161,808,0,1969,0,0,2,1,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace,Attached,1977.0,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,0,0,0,0,276,0,,,,0,11,2007,Warranty Deed - Conventional,Normal Sale,190000
473,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Residential Medium Density,35.0,3675,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Edwards,Normal,Normal,Townhouse End Unit,Split Level,Above Average,Average,2005,2005,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,80.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,459,Unfinished,0,88,547,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1072,0,0,1072,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Basement Garage,2005.0,Rough Finished,2,525,Typical/Average,Typical/Average,Paved,0,28,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,148000
474,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,110.0,14977,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2006,2007,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,304.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Good Exposure,Good Living Quarters,1350,Unfinished,0,626,1976,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1976,0,0,1976,1,0,2,0,2,1,Good,7,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached,2006.0,Rough Finished,3,908,Typical/Average,Typical/Average,Paved,250,63,0,0,0,0,,,,0,7,2007,Newly Constructed,Incomplete Construction,440000
475,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,41.0,5330,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Stone Brook,Normal,Normal,Townhouse End Unit,One Story,Very Good,Average,2000,2000,Gable,Standard Shingle,Cement Board,,,0.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Good Living Quarters,1196,Unfinished,0,298,1494,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1652,0,0,1652,1,0,2,0,2,1,Excellent,6,Typical Functionality,0,,Attached,2000.0,Rough Finished,2,499,Typical/Average,Typical/Average,Paved,96,48,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,Normal Sale,251000
476,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,8480,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1963,1963,Hip,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Good Living Quarters,630,Unfinished,0,340,970,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,970,0,0,970,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached,1996.0,Unfinished,2,624,Typical/Average,Typical/Average,Paved,0,24,0,0,192,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,132500
477,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,13125,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Moderate Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Above Average,Average,1997,1998,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,215.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Good Exposure,Good Living Quarters,994,Unfinished,0,484,1478,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1493,0,0,1493,1,0,2,0,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1997.0,Finished,2,508,Typical/Average,Typical/Average,Paved,140,39,0,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Normal Sale,208900
478,2-STORY 1946 & NEWER,Residential Low Density,105.0,13693,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,Two Story,Excellent,Average,2006,2006,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,772.0,Excellent,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,2153,2153,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2069,574,0,2643,0,0,2,1,3,1,Excellent,9,Typical Functionality,1,Good - Masonry Fireplace,Built-In Garage,2006.0,Finished,3,694,Typical/Average,Typical/Average,Paved,414,84,0,0,0,0,,,,0,3,2007,Warranty Deed - Conventional,Normal Sale,380000
479,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,79.0,10637,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2007,2008,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,336.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Good Exposure,Good Living Quarters,1288,Unfinished,0,417,1705,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1718,0,0,1718,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2007.0,Rough Finished,3,826,Typical/Average,Typical/Average,Paved,208,44,0,0,0,0,,,,0,9,2009,Warranty Deed - Conventional,Normal Sale,297000
480,1-STORY 1945 & OLDER,Residential Medium Density,50.0,5925,Paved,,Regular,Banked,All Public Utilities,Inside Lot,Gentle Slope,Old Town,Normal,Normal,Single-Family Detached,One Story,Below Average,Good,1937,2000,Hip,Standard Shingle,Stucco,Stucco,Brick Common,435.0,Average/Typical,Average/Typical,Brick & Tile,Fair (70-79 inches),Typical,No Exposure,Average Rec Room,168,Unfinished,0,739,907,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1131,0,0,1131,0,0,1,0,2,1,Typical/Average,7,Typical Functionality,0,,Detached,1995.0,Unfinished,2,672,Typical/Average,Typical/Average,Paved,0,72,0,0,0,0,,Minimum Privacy,,0,3,2007,Warranty Deed - Conventional,Allocation,89471
